page,clicks,impressions,ctr,position
https://www.williamsburgmedspa.com/,19,4214,0.004508780256288562,10.438538205980066
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing,12,273,0.04395604395604396,13.010989010989011
https://williamsburgmedspa.com/,6,257,0.023346303501945526,13.42023346303502
https://www.williamsburgmedspa.com/procedures/hyperhidrosis-treatment,2,77,0.025974025974025976,63.62337662337662
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/near/james-city-county-va,1,26,0.038461538461538464,10.076923076923077
https://www.williamsburgmedspa.com/procedures/prp-hair-restoration,1,137,0.0072992700729927005,42.262773722627735
https://www.williamsburgmedspa.com/affiliates,0,33,0,5.484848484848484
https://www.williamsburgmedspa.com/blog,0,33,0,5.484848484848484
https://www.williamsburgmedspa.com/blog/beginners-guide-to-platelet-rich-plasma-therapy,0,2,0,3.5
https://www.williamsburgmedspa.com/blog/naturally-heal-joint-pain-prp-therapy,0,4,0,5.5
https://www.williamsburgmedspa.com/blog/o-shot-for-vaginal-dryness-what-to-know,0,11,0,5.7272727272727275
https://www.williamsburgmedspa.com/blog/sculptra-alternatives-in-williamsburg-va,0,73,0,30.986301369863014
https://www.williamsburgmedspa.com/consult,0,48,0,38.645833333333336
https://www.williamsburgmedspa.com/events,0,169,0,32.96449704142012
https://www.williamsburgmedspa.com/locations,0,75,0,6.586666666666667
https://www.williamsburgmedspa.com/locations/james-city-county-va,0,60,0,35.766666666666666
https://www.williamsburgmedspa.com/locations/kingsmill-va,0,23,0,31.73913043478261
https://www.williamsburgmedspa.com/locations/newport-news-va,0,223,0,34.766816143497756
https://www.williamsburgmedspa.com/locations/williamsburg-va,0,172,0,18.023255813953487
https://www.williamsburgmedspa.com/locations/yorktown-va,0,58,0,54.53448275862069
https://www.williamsburgmedspa.com/procedures,0,75,0,6.586666666666667
https://www.williamsburgmedspa.com/procedures/blohmdahl-ear-piercing,0,31,0,11.612903225806452
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/for/children,0,27,0,8.962962962962962
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/for/re-piercing,0,6,0,14.833333333333334
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/for/sensitive-ears,0,9,0,23.555555555555557
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/near/fords-colony-va,0,6,0,15
https://www.williamsburgmedspa.com/procedures/blomdahl-ear-piercing/near/williamsburg-va,0,35,0,7.485714285714286
https://www.williamsburgmedspa.com/procedures/feminine-intimacy-prp-protocols,0,1,0,1
https://www.williamsburgmedspa.com/procedures/filler,0,167,0,58.70059880239521
https://www.williamsburgmedspa.com/procedures/joint-restoration,0,26,0,38.96153846153846
https://www.williamsburgmedspa.com/procedures/prp-breast-lift,0,145,0,27.4
https://www.williamsburgmedspa.com/procedures/prp-face-lift,0,21,0,29.476190476190474
https://www.williamsburgmedspa.com/procedures/prp-facial,0,175,0,62.691428571428574
https://www.williamsburgmedspa.com/procedures/xeomin,0,65,0,71.18461538461538
https://www.williamsburgmedspa.com/products,0,75,0,6.586666666666667
https://www.williamsburgmedspa.com/products/co2-lift,0,9,0,24.88888888888889
https://www.williamsburgmedspa.com/products/co2-v-lift-for-women,0,10,0,48
https://www.williamsburgmedspa.com/products/definage-clinical-power-trio-pro,0,4,0,13
